DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
03-07-2021,0,1,0,0,72,3,2,0,2,0,1,0,1,0,0,0,33,0,0,2,0,2,16,0,0,0,3,0,1,0,0,4,51,0,0,2
04-07-2021,2,0,0,0,2,8,0,1,0,0,0,0,0,0,87,0,1,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,41,0,0,2
06-07-2021,0,0,0,0,0,4,9,0,1,0,115,0,0,0,0,4,2,0,0,114,0,4,1,0,0,1,1,0,0,4,1,1,30,1,0,2
07-07-2021,1,0,0,0,0,4,4,0,1,0,10,0,1,0,0,1,18,0,0,10,0,1,0,0,1,0,0,0,0,4,0,0,9,1,0,0
08-07-2021,1,0,0,0,0,2,0,4,15,0,2,1,0,0,0,0,1,9,5,1,0,3,1,0,0,2,0,0,1,11,0,0,6,0,5,2
09-07-2021,11,2,4,9,1,5,3,4,5,0,0,0,1,2,0,1,0,3,75,1,1,14,0,0,0,0,1,0,0,5,0,1,13,0,0,3
11-07-2021,2,0,5,1,0,3,5,5,18,0,0,0,1,0,0,1,1,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12-07-2021,4,7,2,0,4,3,0,3,0,0,1,0,1,1,0,22,11,1,2,0,0,17,3,0,1,1,12,0,1,9,1,0,4,12,0,0
13-07-2021,1,0,2,0,0,2,0,0,1,0,0,0,4,70,0,2,0,0,2,0,0,31,0,0,1,0,2,0,0,7,0,1,4,14,5,0
14-07-2021,0,1,3,0,0,11,0,3,5,0,0,0,86,5,0,3,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,3,0
15-07-2021,0,9,1,0,0,2,0,0,1,0,0,0,73,2,1,10,7,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,5,1,0
17-07-2021,1,0,2,95,7,2,8,2,0,0,0,0,0,0,0,0,8,17,16,0,0,10,0,0,0,8,1,0,0,0,0,0,0,0,0,0
18-07-2021,2,0,0,7,5,3,1,1,0,0,1,0,0,0,1,2,0,7,0,0,0,2,0,0,0,2,77,1,0,0,0,0,2,0,1,0
19-07-2021,0,0,4,1,3,88,0,10,10,12,0,11,0,1,0,0,0,7,7,0,0,5,0,0,6,6,12,0,0,0,1,1,1,0,0,1
20-07-2021,11,6,1,0,10,4,6,2,2,12,1,2,0,0,146,0,0,0,0,1,38,1,1,0,0,4,76,0,0,1,0,0,1,0,1,0
21-07-2021,2,0,1,0,15,101,1,0,0,10,0,0,0,1,28,1,0,1,1,0,0,1,0,0,1,2,3,0,1,0,0,0,3,1,0,0
22-07-2021,0,0,2,2,20,78,2,6,4,4,1,5,8,4,10,3,2,2,3,3,9,3,2,1,0,19,27,4,2,2,1,2,3,4,2,0
23-07-2021,4,0,1,9,18,38,1,18,0,1,8,0,3,9,27,1,29,0,2,0,7,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0
27-07-2021,2,4,4,7,1,5,5,1,2,0,0,1,2,4,82,0,7,1,22,1,0,5,1,1,0,1,5,0,0,0,0,1,0,0,1,0
29-07-2021,5,5,1,0,0,1,2,0,0,0,1,0,0,0,3,0,12,0,1,2,0,9,1,0,0,1,0,2,0,16,0,1,1,0,1,0
30-07-2021,2,8,4,0,3,0,8,1,2,2,0,1,0,1,5,1,9,3,2,1,0,1,1,1,0,2,0,0,0,2,0,0,2,1,0,21
02-08-2021,3,0,0,0,0,2,0,0,0,0,1,0,0,0,10,0,0,0,0,3,21,1,0,0,0,2,0,0,0,0,0,2,3,0,0,0
03-08-2021,4,1,1,0,1,1,0,1,0,1,0,4,1,1,2,0,11,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
04-08-2021,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
05-08-2021,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,12,9,1,0,0,0,0,0,1,1,0,1,0
08-08-2021,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,4,0,0,1,0,0,0
09-08-2021,2,2,0,1,0,2,6,0,2,0,0,0,1,0,2,1,4,1,0,0,0,2,0,0,0,4,1,0,0,1,4,5,0,0,0,0
12-08-2021,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0
14-08-2021,4,1,0,0,10,4,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21-08-2021,3,0,2,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
23-08-2021,7,4,1,0,0,1,0,0,9,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0
24-08-2021,7,3,0,0,1,0,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,0
25-08-2021,8,7,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,0,0,0
26-08-2021,4,2,1,0,6,2,9,6,1,0,0,0,0,1,0,0,1,1,1,3,0,1,1,0,2,1,3,0,0,0,2,5,4,0,1,0
29-08-2021,0,9,0,0,0,1,0,0,0,0,0,0,4,2,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,13,0,0,0
05-09-2021,6,10,5,12,3,3,3,1,0,0,0,0,0,1,1,4,6,0,6,1,0,0,7,0,0,0,0,0,0,1,2,1,0,0,0,0
